,,manual,manual,,,,,,manual,,,,,,,,manual/ tally,manual/ tally,,,,SALE-2025-2026,,,,,,,,,,,,SALE-2024-2025,,,,,,,,,,,,SALE-2023-2024,,,,,,,,,,,,SALE-2022-2023,,,,,,,,,,,,SALE-2021-2022,,,,,,,,,,,
,,ANNUAL,,,,,,,,,,%,%,%,%,%,JUNE 26-27,JUNE 26-27,MAY 26-27,MAY 26-27,APRIL 26-27,MARCH 25-26,FEBRUARY 25-26,JANUARY 25-26,DECEMBER 25-26,NOVEMBER 25-26,OCTOBER 25-26,SEPTEMBER 25-26,AUGUST 25-26,JULY 25-26,JUNE 25-26,MAY 25-26,APRIL 25-26,MARCH 24-25,FEBRUARY 24-25,JANUARY 24-25,DECEMBER 24-25,NOVEMBER 24-25,OCTOBER 24-25,SEPTEMBER 24-25,AUGUST 24-25,JULY 24-25,JUNE 24-25,MAY 24-25,APRIL 24-25,MARCH 23-24,FEB 23-24,JAN 23-24,DEC 23-24,NOV 23-24,OCT 23-24,SEP 23-24,AUGUST 23-24,JULY 23-24,JUNE 23-24,MAY 23-24,APRIL 23-24,MARCH 22-23,FEB 22-23,JAN 22-23,DEC 22-23,NOV 22-23,OCT 22-23,SEP 22-23,AUG 22-23,JULY 22-23,JUNE 22-23,MAY 22-23,APRIL 22-23,MAR 21-22,FEB 21-22,JAN 21-22,DEC 21-22,NOV 21-22,OCT 21-22,SEP 21-22,AUG 21-22,JULY 21-22,JUNE 21-22,MAY 21-22,APRIL 21-22
S.No.,Party Name,TOTAL BUSINESS POTENTIAL,NEWBIZ/CCARE,,FREIGHT,RAZOR BLADE,UPGRADE,BRAND,FORCAST JUNE,LAST VISIT DATE,Phase1            Rate Increase,Dr. Bio,Plastic/Albar/Metbar/HDPE,Oil,Paper,Desiccant ,SALE,PENDING,SALE,PENDING,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE,SALE
,Total,60.30,,,,,,,120.00,,,,,,,,71.75,27.19,180.85,7.78,195.06,156.60,135.78,139.09,145.38,145.60,116.64,125.62,116.00,125.35,126.05,114.81,106.38,112.31,112.04,112.49,112.14,101.91,110.23,100.04,111.41,109.94,107.01,95.93,86.82,99.15,99.00,105.03,89.17,86.32,97.08,101.64,102.11,117.71,98.78,96.08,97.31,93.10,95.92,96.87,91.27,88.23,87.45,97.70,95.59,106.71,85.90,85.46,83.92,82.27,82.61,84.43,89.88,84.47,84.90,87.94,82.90,89.88,75.86,74.80,85.16
1,Mahabal Metal ,25.00,CCARE,purchase.metal@mahabal.in,To Pay,NO,NO,RUSTX+DR. BIO,20.00,7.8.2025,yes,10,20,20,,,9.54,11.13,23.00,,27.89,24.73,20.61,19.99,20.12,18.66,14.23,19.05,14.51,16.62,20.41,14.38,21.87,21.69,19.83,15.23,14.40,21.57,16.05,17.23,15.87,16.19,16.34,15.20,14.56,13.82,14.96,16.75,14.78,14.43,15.50,14.31,12.15,16.58,14.53,12.89,19.42,13.99,17.44,16.89,11.36,18.20,12.74,10.68,11.70,18.21,13.34,16.74,9.77,10.83,8.40,8.71,10.28,8.72,7.67,11.75,9.10,10.39,10.41,7.95,10.29
2,HARIOM TECH,30.00,CCARE,,Nil,,,RUSTX,20.00,12.8.2025,yes,,,22/20,,,16.39,,16.74,,18.78,21.69,14.93,14.18,15.39,14.08,15.24,13.12,12.04,12.61,11.78,11.04,9.93,14.20,12.93,12.97,13.46,11.61,11.40,12.95,13.73,13.78,12.78,14.31,10.88,12.62,9.21,12.37,12.45,11.78,12.99,15.78,15.46,16.35,12.75,12.40,11.27,12.21,12.98,11.03,12.86,13.40,,,,,,,,,,,,,,,,,,,
3,Maurya Industries ,25.00,CCARE,kiran.kulkarni@mauryagroup.co.in,Nil,YES,NO,RUSTX,5.00,1.8.2025,yes,,22,,,,5.57,,9.08,,6.21,6.03,3.73,4.71,8.41,7.28,4.52,6.70,4.27,4.26,6.07,4.65,4.76,3.70,5.12,4.82,3.71,3.96,8.91,7.46,5.86,7.18,7.36,6.27,6.12,4.84,5.85,5.71,7.20,3.34,3.97,5.16,4.22,3.81,4.49,5.86,5.58,8.26,5.73,6.16,5.93,3.65,3.87,4.98,6.98,7.35,5.81,4.04,6.77,6.38,3.44,4.91,4.46,3.97,7.50,2.69,5.00,3.18,5.19,9.36,5.58
4,PRESAGE INDUSTRIES,2.00,CCARE,,Nil,,,RUSTX,5.00,13.8.2025,yes,,,20/15,,,7.02,2.22,5.56,,4.69,2.35,4.56,2.45,5.13,8.50,,8.24,3.85,3.79,3.57,7.30,4.70,4.31,1.07,6.49,6.41,7.04,7.61,4.00,4.60,5.74,4.81,3.60,1.57,2.93,4.76,0.84,1.67,3.85,2.03,2.81,3.82,3.43,1.44,,0.10,,0.32,,0.47,,0.17,,,,,,,,,,0.24,0.24,,,,,,,
5,SHANTI FOUMACH PRIVATE LIMITED,10.00,CCARE,"purchase@shantifoumach.com, asst.purchase@shantifoumach.com",To Pay,NO,NO,RUSTX,4.00,9.8.2025,yes,,22,,,,1.75,,4.62,0.45,5.29,4.18,4.00,5.10,5.20,5.04,4.27,5.15,5.75,5.30,4.62,3.63,3.74,2.81,3.56,2.56,1.93,3.38,2.46,1.41,2.05,2.36,0.98,1.50,1.50,2.49,1.69,2.00,0.71,1.51,1.63,1.36,2.43,1.80,2.90,2.53,1.86,2.49,1.86,2.05,2.29,2.14,1.48,1.95,2.08,3.68,2.35,2.34,2.14,4.57,4.26,3.13,2.81,3.08,2.05,3.63,2.67,3.40,1.70,2.87,2.60
6,MALATI FOUNDERS PVT. LTD. ,5.00,CCARE,,Nil,N,N,Dr. Bio,4.5,17.7.2025,,,,,,,,1.71,2.79,,2.94,,5.19,6.38,4.01,3.37,2.40,3.88,1.16,3.27,3.40,2.64,2.4,2.24,3.59,3.15,3.24,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,VERSATILE ENGG,15.00,CCARE,naeem.patel@versatilegroup.co.in,Pay & Charge,YES,YES,RUSTX,4.00,3.8.2025,yes,,22,22/20,15,,1.76,,6.23,7.31,6.40,4.20,3.83,5.09,5.81,5.34,4.92,4.00,4.33,4.61,3.53,3.62,2.95,4.20,5.16,3.18,3.75,4.18,4.15,3.60,4.84,2.87,3.90,5.61,6.27,4.67,5.93,4.42,4.09,3.35,5.55,6.45,5.14,6.52,5.96,4.63,4.23,4.10,5.73,4.57,4.21,4.12,6.76,2.76,5.24,2.41,3.17,5.51,5.59,5.77,7.33,3.40,5.08,5.95,7.40,7.06,4.91,4.93,1.53,5.41,4.41
